"wsg_deb_name","wsg_latest_version","wsg_old_version"
"fonts-dejavu-core","fonts-dejavu-core_2.37-1_all.deb","2.34-1ubuntu1
"
"fonts-dejavu-extra","fonts-dejavu-extra_2.37-1_all.deb","2.34-1ubuntu1
"
"friendly-recovery","friendly-recovery_0.2.38_all.deb","0.2.25
"
"ftp","ftp_0.17-34_amd64.deb","0.17-28
"
"fuse","None","2.9.2-4ubuntu4.14.04.1
"
"g++","g++_7.3.0-3ubuntu2_amd64.deb","4:4.8.2-1ubuntu6
"
"g++-4.8","g++-4.8_4.8.5-4ubuntu8_amd64.deb","4.8.4-2ubuntu1~14.04.3
"
"ganglia-monitor","ganglia-monitor_3.6.0-7ubuntu2_amd64.deb","3.6.0-1ubuntu2
"
"gawk","gawk_4.1.4+dfsg-1build1_amd64.deb","1:4.0.1+dfsg-2.1ubuntu2
"
"gcc","gcc_7.3.0-3ubuntu2_amd64.deb","4:4.8.2-1ubuntu6
"
"gcc-4.8","None","4.8.4-2ubuntu1~14.04.3
"
"gdb","None","7.7.1-0ubuntu5~14.04.3
"
"gdisk","gdisk_1.0.3-1_amd64.deb","0.8.8-1ubuntu0.1
"
"geoip-database","geoip-database_20180315-1_all.deb","20140313-1
"
"gettext-base","gettext-base_0.19.8.1-6_amd64.deb","0.18.3.1-1ubuntu3
"
"gir1.2-glib-2.0","gir1.2-glib-2.0_1.56.1-1_amd64.deb","1.40.0-1ubuntu0.2
"
"gnupg","None","1.4.16-1ubuntu2.4
"
"gpgv","gpgv_2.2.4-1ubuntu1_amd64.deb","1.4.16-1ubuntu2.4
"
"grep","None","2.16-1
"
"groff-base","groff-base_1.22.3-10_amd64.deb","1.22.2-5
"
"grub-common","grub-common_2.02-2ubuntu8_amd64.deb","2.02~beta2-9ubuntu1.7
"
"grub-gfxpayload-lists","grub-gfxpayload-lists_0.7_amd64.deb","0.6
"
"grub-pc","grub-pc_2.02-2ubuntu8_amd64.deb","2.02~beta2-9ubuntu1.7
"
"grub-pc-bin","grub-pc-bin_2.02-2ubuntu8_amd64.deb","2.02~beta2-9ubuntu1.7
"
"grub2-common","grub2-common_2.02-2ubuntu8_amd64.deb","2.02~beta2-9ubuntu1.7
"
"gzip","gzip_1.6-5ubuntu1_amd64.deb","1.6-3ubuntu1
"
"haproxy","haproxy_1.8.8-1_amd64.deb","1.6.11-1ppa1~trusty
"
"hdparm","hdparm_9.54+ds-1_amd64.deb","9.43-1ubuntu3
"
"heartbeat","heartbeat_3.0.6-7_amd64.deb","1:3.0.5-3.2
"
"hostname","hostname_3.20_amd64.deb","3.15ubuntu1
"
"i40e-dkms","None","2.2.4-1~u14.04+mos1
"
"ifenslave","ifenslave_2.9ubuntu1_all.deb","2.4ubuntu1.2
"
"iftop","iftop_1.0~pre4-4_amd64.deb","1.0~pre2-5
"
"ifupdown","ifupdown_0.8.17ubuntu1_amd64.deb","0.7.47.2ubuntu4.3
"
"inetutils-traceroute","inetutils-traceroute_1.9.4-3_amd64.deb","2:1.9.2-1
"
"info","info_6.5.0.dfsg.1-2_amd64.deb","5.2.0.dfsg.1-2
"
"init-system-helpers","init-system-helpers_1.51_all.deb","1.14
"
"initramfs-tools","initramfs-tools_0.130ubuntu3_all.deb","0.103ubuntu4.2
"
"initramfs-tools-bin","initramfs-tools-bin_0.130ubuntu3_amd64.deb","0.103ubuntu4.2
"
"initscripts","None","2.88dsf-41ubuntu6.3
"
"insserv","None","1.14.0-5ubuntu2
"
"install-info","install-info_6.5.0.dfsg.1-2_amd64.deb","5.2.0.dfsg.1-2
"
"installation-report","installation-report_2.62ubuntu1_all.deb","2.54ubuntu1
"
"iperf","iperf_2.0.10+dfsg1-1_amd64.deb","2.0.5-3
"
"ipmitool","ipmitool_1.8.18-5build1_amd64.deb","1.8.13-1ubuntu0.6
"
"iproute","None","1:3.12.0-2ubuntu1
"
"iproute2","iproute2_4.15.0-2ubuntu1_amd64.deb","3.12.0-2ubuntu1
"
"iptables","iptables_1.6.1-2ubuntu2_amd64.deb","1.4.21-1ubuntu1
"
"iputils-arping","iputils-arping_20161105-1ubuntu2_amd64.deb","3:20121221-4ubuntu1.1
"
"iputils-ping","iputils-ping_20161105-1ubuntu2_amd64.deb","3:20121221-4ubuntu1.1
"
"iputils-tracepath","iputils-tracepath_20161105-1ubuntu2_amd64.deb","3:20121221-4ubuntu1.1
"
"irqbalance","irqbalance_1.3.0-0.1_amd64.deb","1.0.6-2ubuntu0.14.04.4
"
"isc-dhcp-client","isc-dhcp-client_4.3.5-3ubuntu7_amd64.deb","4.2.4-7ubuntu12.4
"
"isc-dhcp-common","isc-dhcp-common_4.3.5-3ubuntu7_amd64.deb","4.2.4-7ubuntu12.4
"
"iso-codes","iso-codes_3.79-1_all.deb","3.52-1
"
"java-common","java-common_0.63ubuntu1~02_all.deb","0.51
"
"kbd","kbd_2.0.4-2ubuntu1_amd64.deb","1.15.5-1ubuntu1
"
"keyboard-configuration","keyboard-configuration_1.178ubuntu2_all.deb","1.70ubuntu8
"
"keyutils","keyutils_1.5.9-9.2ubuntu2_amd64.deb","1.5.6-1
"
"klibc-utils","klibc-utils_2.0.4-9ubuntu2_amd64.deb","2.0.3-0ubuntu1
"
"kmod","kmod_24-1ubuntu3_amd64.deb","15-0ubuntu6
"
"kpartx","kpartx_0.7.4-2ubuntu3_amd64.deb","0.4.9-3ubuntu7.16.2
"
"krb5-config","krb5-config_2.6_all.deb","2.3
"
"krb5-locales","krb5-locales_1.16-2build1_all.deb","1.12+dfsg-2ubuntu5.2
"
"krb5-user","krb5-user_1.16-2build1_amd64.deb","1.12+dfsg-2ubuntu5.2
"
"landscape-common","landscape-common_18.01-0ubuntu3_amd64.deb","14.12-0ubuntu0.14.04
"
"language-selector-common","language-selector-common_0.188_all.deb","0.129.3
"
"laptop-detect","laptop-detect_0.16_all.deb","0.13.7ubuntu2
"
"less","less_487-0.1_amd64.deb","458-2
"
"libalgorithm-diff-perl","libalgorithm-diff-perl_1.19.03-1_all.deb","1.19.02-3
"
"libalgorithm-diff-xs-perl","libalgorithm-diff-xs-perl_0.04-5_amd64.deb","0.04-2build4
"
"libalgorithm-merge-perl","libalgorithm-merge-perl_0.08-3_all.deb","0.08-2
"
"libapache2-mod-fastcgi","None","1:2.4.7~0910052141-1.1
"
"libapache2-mod-wsgi","libapache2-mod-wsgi_4.5.17-1_amd64.deb","3.4-4ubuntu2.1.14.04.2
"
"libapparmor-perl","libapparmor-perl_2.12-4ubuntu5_amd64.deb","2.8.95~2430-0ubuntu5.3
"
"libarchive-extract-perl","libarchive-extract-perl_0.80-1_all.deb","0.70-1
"
"libaudit-common","libaudit-common_2.8.2-1ubuntu1_all.deb","1:2.3.2-2ubuntu1
"
"libbind9-90","None","1:9.9.5.dfsg-3ubuntu0.7
"
"libc-bin","libc-bin_2.27-3ubuntu1_amd64.deb","2.19-0ubuntu6.9
"
"libc-dev-bin","libc-dev-bin_2.27-3ubuntu1_amd64.deb","2.19-0ubuntu6.14
"
"libcap-ng0","libcap-ng0_0.7.7-3.1_amd64.deb","0.7.3-1ubuntu2
"
"libcap2-bin","libcap2-bin_2.25-1.2_amd64.deb","1:2.24-0ubuntu2
"
"libcephfs1","None","10.2.11-7.0+428+f5c1db187
"
"libcfg6","libcfg6_2.4.3-0ubuntu1_amd64.deb","2.3.3-1ubuntu1
"
"libcib3","None","1.1.10+git20130802-1ubuntu2.3
"
"libclass-accessor-perl","libclass-accessor-perl_0.51-1_all.deb","0.34-1
"
"libcmap4","libcmap4_2.4.3-0ubuntu1_amd64.deb","2.3.3-1ubuntu1
"
"libconfuse-common","libconfuse-common_3.2.1+dfsg-4_all.deb","2.7-4ubuntu1
"
"libcorosync-common4","libcorosync-common4_2.4.3-0ubuntu1_amd64.deb","2.3.3-1ubuntu1
"
"libcpg4","libcpg4_2.4.3-0ubuntu1_amd64.deb","2.3.3-1ubuntu1
"
"libcrmcluster4","libcrmcluster4_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"libcrmcommon3","libcrmcommon3_1.1.18-0ubuntu1_amd64.deb","1.1.10+git20130802-1ubuntu2.3
"
"libcrmservice1","None","1.1.10+git20130802-1ubuntu2.3
"
"libcrypto++9","None","5.6.1-6+deb8u1build0.14.04.1
"
"libcryptsetup4","None","2:1.6.1-1ubuntu1
"
"libcwidget3","None","0.5.16-3.5ubuntu1
"
"libdaemon0","libdaemon0_0.14-6_amd64.deb","0.14-2ubuntu1
"
"libdns100","None","1:9.9.5.dfsg-3ubuntu0.7
"
"libdpkg-perl","libdpkg-perl_1.19.0.5ubuntu2_all.deb","1.17.5ubuntu5.5
"
"libesmtp6","libesmtp6_1.0.6-4.3build1_amd64.deb","1.0.6-1ubuntu2
"
"libestr0","libestr0_0.1.10-2.1_amd64.deb","0.1.9-0ubuntu2
"
"libfcgi0ldbl","libfcgi0ldbl_2.4.0-10_amd64.deb","2.4.0-8.1ubuntu5
"
"libfile-copy-recursive-perl","libfile-copy-recursive-perl_0.40-1_all.deb","0.38-1
"
"libfile-fcntllock-perl","libfile-fcntllock-perl_0.22-3build2_amd64.deb","0.14-2build1
"
"libganglia1","libganglia1_3.6.0-7ubuntu2_amd64.deb","3.6.0-1ubuntu2
"
"libgcr-3-common","None","3.10.1-1
"
"libgirepository-1.0-1","libgirepository-1.0-1_1.56.1-1_amd64.deb","1.40.0-1ubuntu0.2
"
"libglib2.0-data","libglib2.0-data_2.56.1-2ubuntu1_all.deb","2.40.2-0ubuntu1
"
"libgoogle-perftools4","libgoogle-perftools4_2.5-2.2ubuntu3_amd64.deb","2.1-2ubuntu1.1
"
